[04-Jul-2017 14:08:58 Asia/Shanghai] PHP Catchable fatal error:  Object of class MongoCursor could not be converted to string in /var/www/html/test/zhanghao/users/index.php on line 8
[04-Jul-2017 14:12:04 Asia/Shanghai] PHP Fatal error:  Cannot use object of type MongoCursor as array in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 25
[04-Jul-2017 14:14:50 Asia/Shanghai] PHP Notice:  Undefined index: id in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:14:50 Asia/Shanghai] PHP Notice:  Use of undefined constant id - assumed 'id' in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:15:15 Asia/Shanghai] PHP Notice:  Array to string conversion in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:15:15 Asia/Shanghai] PHP Notice:  Array to string conversion in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:15:27 Asia/Shanghai] PHP Notice:  Array to string conversion in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:15:27 Asia/Shanghai] PHP Notice:  Array to string conversion in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:15:48 Asia/Shanghai] PHP Notice:  Array to string conversion in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:15:48 Asia/Shanghai] PHP Notice:  Array to string conversion in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:19:58 Asia/Shanghai] PHP Notice:  Undefined property: MongoId::$id in /var/www/html/test/zhanghao/users/index.php on line 9
[04-Jul-2017 14:31:31 Asia/Shanghai] PHP Fatal error:  Access level to Zhanghao\Practice\users\GeneralUser::$_level must be protected (as in class Zhanghao\Practice\users\Users) or weaker in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 8
[04-Jul-2017 14:32:52 Asia/Shanghai] PHP Notice:  Undefined index: id in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 49
[04-Jul-2017 14:32:52 Asia/Shanghai] PHP Notice:  Trying to get property of non-object in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 49
[04-Jul-2017 14:32:52 Asia/Shanghai] PHP Notice:  Undefined index: level in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 50
[04-Jul-2017 14:32:52 Asia/Shanghai] PHP Notice:  Undefined index: account in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 51
[04-Jul-2017 14:32:52 Asia/Shanghai] PHP Notice:  Undefined index: username in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 52
[04-Jul-2017 14:32:52 Asia/Shanghai] PHP Notice:  Undefined index: pwd in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 53
[04-Jul-2017 14:33:27 Asia/Shanghai] PHP Notice:  Undefined index: id in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 50
[04-Jul-2017 14:33:27 Asia/Shanghai] PHP Notice:  Trying to get property of non-object in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 50
[04-Jul-2017 14:33:27 Asia/Shanghai] PHP Notice:  Undefined index: level in /var/www/html/test/zhanghao/users/users/GeneralUser.php on line 51
